nose-x,nose-y,nose-p,left_eye-x,left_eye-y,left_eye-p,right_eye-x,right_eye-y,right_eye-p,left_ear-x,left_ear-y,left_ear-p,right_ear-x,right_ear-y,right_ear-p,left_shoulder-x,left_shoulder-y,left_shoulder-p,right_shoulder-x,right_shoulder-y,right_shoulder-p,left_elbow-x,left_elbow-y,left_elbow-p,right_elbow-x,right_elbow-y,right_elbow-p,left_wrist-x,left_wrist-y,left_wrist-p,right_wrist-x,right_wrist-y,right_wrist-p,left_hip-x,left_hip-y,left_hip-p,right_hip-x,right_hip-y,right_hip-p,left_knee-x,left_knee-y,left_knee-p,right_knee-x,right_knee-y,right_knee-p,left_ankle-x,left_ankle-y,left_ankle-p,right_ankle-x,right_ankle-y,right_ankle-p,camera-position,subject-position,model,date,frame-id,class
0.49539015,0.50586665,0.6875581,0.5422367,0.46222085,0.7558032,0.4498749,0.46069717,0.65054417,0.5997199,0.49219245,0.73136574,0.38999403,0.48754135,0.5531463,0.7370905,0.75770736,0.6763334,0.24355951,0.7526855,0.64379036,0.80194604,0.87139606,0.024682075,0.01102557,0.8556213,0.024213828,0.5873369,0.6430869,0.00757357,0.011653356,0.85398746,0.047764417,0.7106347,1.024739,0.04890135,0.020548813,0.865012,0.03621547,0.7560586,0.78336,0.020536197,0.40844503,0.45236102,0.0032565661,0.5005672,0.628895,0.030755473,0.98918104,0.9892741,0.040487483,frontal,sitting,movenet_thunder,1705583331,558ae416-5c08-4666-9c2b-06aa86e083dc,center
0.49740678,0.5093333,0.5625237,0.54629296,0.46265748,0.62633425,0.4511121,0.46214706,0.5067059,0.60366315,0.49246207,0.7509028,0.39057562,0.4883586,0.5873215,0.73554194,0.7576871,0.6921436,0.24466036,0.75378585,0.66863614,0.80286163,0.8707818,0.0274584,0.01560075,0.98209196,0.029936302,0.5818269,0.61751425,0.01098916,0.009802681,0.8534019,0.039380386,0.7122802,1.0242537,0.04540483,0.082130544,0.36705744,0.06695047,0.76829255,0.7723243,0.018751122,0.41860187,0.5227796,0.0030031062,0.51534927,0.683891,0.028092463,0.9906184,0.9928218,0.02721081,frontal,sitting,movenet_thunder,1705583332,3d32287b-e021-4a5f-9011-41a89fb05a4e,center
0.4990302,0.5091876,0.63506556,0.5470808,0.46282646,0.6368873,0.4529368,0.46200427,0.6144889,0.6035704,0.49248523,0.7663616,0.3923907,0.48614636,0.6301914,0.73746973,0.7620505,0.66837406,0.24036008,0.75153095,0.73235244,0.8025616,0.8683341,0.024894007,0.011887228,0.85374165,0.02498346,0.5892831,0.65906024,0.00637818,0.011953019,0.85164356,0.04400242,0.71186817,1.0253704,0.04187953,0.021945205,0.8637943,0.034929413,0.7695763,0.77688503,0.021192979,0.39182675,0.42317918,0.0031784852,0.499757,0.60952824,0.029519232,0.020607598,1.0028841,0.05683194,frontal,sitting,movenet_thunder,1705583332,5df36120-c0f5-475f-acb3-59366c3271a1,center
0.50136393,0.50881445,0.67371327,0.5489927,0.4616493,0.70385617,0.45465174,0.4610573,0.67759573,0.6049171,0.4885741,0.6734018,0.39107153,0.4843757,0.54497385,0.7381588,0.76108575,0.68725264,0.24367008,0.7515963,0.6942189,0.80011755,0.8687641,0.030889468,0.024661291,0.97380185,0.031025989,0.5987258,0.6613705,0.0053046364,0.012316722,0.8535639,0.043721296,0.71079975,1.0235305,0.04492989,0.04070222,0.87992936,0.0318256,0.7702945,0.7743558,0.030264808,0.39350504,0.44086438,0.004881156,0.49874803,0.61062056,0.031618297,0.021126216,1.0025009,0.05007693,frontal,sitting,movenet_thunder,1705583332,2783db3b-d42a-4fb8-9caf-2a7d37c37315,center
0.50437623,0.5097064,0.70228744,0.55139107,0.46355125,0.7451097,0.4582751,0.46223328,0.78392464,0.60815877,0.49222565,0.5521115,0.3952755,0.4875017,0.64931285,0.74224603,0.7585662,0.741879,0.24817006,0.7477862,0.63119173,0.7680001,0.7818552,0.0074088327,0.022157054,0.9757282,0.034161,0.601349,0.6583828,0.006130229,0.010271778,0.8531376,0.036391005,0.7126343,1.0249348,0.04090941,0.01952919,0.9781109,0.03380147,0.7696744,0.7770791,0.030946374,0.4184312,0.43657178,0.0031575481,0.5017574,0.61043304,0.029438004,0.9912276,0.9890557,0.03215289,frontal,sitting,movenet_thunder,1705583333,bdc4d1fd-1d9e-446c-ad05-ac85d1663e3d,center
0.59541374,0.5323469,0.46735293,0.65110797,0.52326685,0.68994635,0.57528603,0.46687815,0.6331312,0.681152,0.5813666,0.6679176,0.47601834,0.4606636,0.62287277,0.7362455,0.7654769,0.75364757,0.25112495,0.74144715,0.73177207,0.80683297,0.86759526,0.029769706,0.023370758,0.97533727,0.04530462,0.61605847,0.6593654,0.019953169,0.008906145,0.86039096,0.044935912,0.55643827,0.37821272,0.059096523,0.047653712,0.86676097,0.020208014,0.76933944,0.7726276,0.025488742,0.3874451,1.0007787,0.024571432,0.97090787,0.988375,0.035211224,0.9912956,0.9898455,0.03985734,frontal,sitting,movenet_thunder,1705583337,6ad5ae1f-8ec8-4f46-b0d7-3b5269b9b43d,left
0.5979081,0.52577364,0.5295843,0.6508373,0.5232875,0.6555035,0.5755104,0.46628165,0.6581198,0.6786508,0.58735013,0.66944546,0.4745,0.46106398,0.65044296,0.7368463,0.7668774,0.7547949,0.25209498,0.7416929,0.7131536,0.81445825,0.8708864,0.035026245,0.13862556,0.99542373,0.038663916,0.6785007,0.5747889,0.03635735,0.009382565,0.85971737,0.047284614,0.7457791,0.99208355,0.05607207,0.0552852,0.868026,0.01625053,0.7694217,0.77608514,0.021143988,0.41791993,1.0005584,0.022817632,0.9694685,0.98955154,0.03969204,0.99097306,0.9921327,0.045027073,frontal,sitting,movenet_thunder,1705583337,ec64b002-a8a3-469e-9c4e-2bd669c4f487,left
0.5945995,0.5312944,0.40654963,0.6494795,0.52365017,0.6957087,0.5742132,0.46732527,0.64060646,0.6787925,0.5858387,0.6347121,0.47427583,0.46089596,0.6401369,0.7360842,0.76497144,0.6685268,0.2507303,0.74046457,0.70377624,0.80389124,0.8700562,0.033021193,0.13932458,0.9973651,0.038180757,0.6787595,0.5786214,0.042166993,0.006834772,0.86015356,0.039482456,0.7715011,0.88194,0.06567104,0.035961278,0.865286,0.01380414,0.75817114,0.7748694,0.01770271,0.48225933,0.8663537,0.016904434,0.9711439,0.9882823,0.03042565,0.99154526,0.99002284,0.034821417,frontal,sitting,movenet_thunder,1705583337,6686042d-284a-4519-bd43-c702dc40c0c7,left
0.5942926,0.5329087,0.46509847,0.6496048,0.52373195,0.6760311,0.5728432,0.46917713,0.55805534,0.6798751,0.58168817,0.64914423,0.47554356,0.46031797,0.59401196,0.7371051,0.7672909,0.7617953,0.25239635,0.73893625,0.7439185,0.80204684,0.865537,0.036088403,0.02244163,0.97422826,0.044740386,0.6784305,0.5726913,0.03375003,0.006865063,0.861558,0.05810633,0.55774,0.3782462,0.060809687,0.050134633,0.868557,0.021067148,0.7704108,0.77818286,0.027425898,0.40264344,1.0016888,0.02295471,0.9710642,0.98903555,0.031751275,0.9904887,0.98929584,0.035561763,frontal,sitting,movenet_thunder,1705583337,072022f1-4d89-47ff-acda-cd4e75926121,left
0.59652567,0.53179497,0.468066,0.65182,0.5229581,0.6813366,0.57596534,0.46643177,0.62371147,0.68140554,0.58049875,0.677945,0.47598743,0.46015295,0.61800265,0.73702985,0.7654022,0.7385502,0.25394925,0.7393227,0.74441636,0.7728672,0.76283926,0.014580982,0.12850979,0.99057466,0.042971194,0.6160219,0.6613896,0.019239586,0.00597045,0.86321676,0.036901753,0.55864185,0.37720403,0.0629833,0.050293546,0.8669826,0.017918084,0.77189755,0.7725314,0.027582437,0.40271163,1.000344,0.023163928,0.9735857,0.9894566,0.022168355,0.993353,0.9905582,0.02589006,frontal,sitting,movenet_thunder,1705583337,5d40aa83-edaf-428c-8e07-6cf1870dbe60,left
0.5964581,0.53259134,0.49819323,0.6528258,0.5224795,0.6719436,0.5739437,0.46945655,0.5503716,0.6836463,0.5797869,0.6794749,0.47715685,0.4636027,0.6020857,0.7369367,0.7660417,0.71159476,0.25340152,0.73862743,0.7443553,0.801471,0.86888564,0.0353846,0.1388731,0.9955472,0.0423775,0.6831801,0.57675767,0.04101652,0.0059441905,0.86072993,0.050405737,0.5594163,0.37948665,0.06767311,0.049041927,0.8661672,0.018410508,0.76902235,0.7723577,0.02856243,0.44986904,1.0019228,0.026909333,0.9724682,0.9886398,0.025794066,0.99081326,0.98831636,0.03340586,frontal,sitting,movenet_thunder,1705583338,64f5e955-dace-4299-8392-60634f4d40e5,left
0.59500176,0.5274897,0.46198463,0.6506909,0.5219273,0.7034505,0.5743449,0.46603182,0.6449094,0.68020666,0.58321446,0.6658806,0.47692305,0.46145058,0.6296247,0.7371038,0.76610774,0.7604513,0.25035256,0.73884916,0.6975993,0.80445975,0.86575764,0.03007233,0.14200659,0.9947147,0.047801852,0.6794633,0.57491237,0.041558895,0.0068317717,0.8601877,0.046362363,0.5573809,0.37807018,0.063469164,0.05493035,0.8675375,0.012280451,0.7691749,0.7735744,0.027228082,0.41964367,1.0011271,0.027010541,0.9725872,0.98870915,0.029539043,0.99140316,0.98978955,0.035051603,frontal,sitting,movenet_thunder,1705583338,d12328c1-2203-4ff1-bc2b-0322fd95ff6e,left
