nose-x,nose-y,left_eye-x,left_eye-y,right_eye-x,right_eye-y,left_ear-x,left_ear-y,right_ear-x,right_ear-y,left_shoulder-x,left_shoulder-y,right_shoulder-x,right_shoulder-y,head_angle,shoulder_angle,class
0.49539015,0.50586665,0.5422367,0.46222085,0.4498749,0.46069717,0.5997199,0.49219245,0.38999403,0.48754135,0.7370905,0.75770736,0.24355951,0.7526855,-0.011111111111111112,-0.011111111111111112,center
0.49740678,0.5093333,0.54629296,0.46265748,0.4511121,0.46214706,0.60366315,0.49246207,0.39057562,0.4883586,0.73554194,0.7576871,0.24466036,0.75378585,-0.011111111111111112,0.0,center
0.4990302,0.5091876,0.5470808,0.46282646,0.4529368,0.46200427,0.6035704,0.49248523,0.3923907,0.48614636,0.73746973,0.7620505,0.24036008,0.75153095,-0.011111111111111112,-0.011111111111111112,center
0.50136393,0.50881445,0.5489927,0.4616493,0.45465174,0.4610573,0.6049171,0.4885741,0.39107153,0.4843757,0.7381588,0.76108575,0.24367008,0.7515963,0.0,-0.011111111111111112,center
0.50437623,0.5097064,0.55139107,0.46355125,0.4582751,0.46223328,0.60815877,0.49222565,0.3952755,0.4875017,0.74224603,0.7585662,0.24817006,0.7477862,-0.011111111111111112,-0.011111111111111112,center
0.59541374,0.5323469,0.65110797,0.52326685,0.57528603,0.46687815,0.681152,0.5813666,0.47601834,0.4606636,0.7362455,0.7654769,0.25112495,0.74144715,-0.4111111111111111,-0.03333333333333333,left
0.5979081,0.52577364,0.6508373,0.5232875,0.5755104,0.46628165,0.6786508,0.58735013,0.4745,0.46106398,0.7368463,0.7668774,0.25209498,0.7416929,-0.4111111111111111,-0.03333333333333333,left
0.5945995,0.5312944,0.6494795,0.52365017,0.5742132,0.46732527,0.6787925,0.5858387,0.47427583,0.46089596,0.7360842,0.76497144,0.2507303,0.74046457,-0.4111111111111111,-0.03333333333333333,left
0.5942926,0.5329087,0.6496048,0.52373195,0.5728432,0.46917713,0.6798751,0.58168817,0.47554356,0.46031797,0.7371051,0.7672909,0.25239635,0.73893625,-0.4,-0.044444444444444446,left
0.59652567,0.53179497,0.65182,0.5229581,0.57596534,0.46643177,0.68140554,0.58049875,0.47598743,0.46015295,0.73702985,0.7654022,0.25394925,0.7393227,-0.4,-0.03333333333333333,left
